Railway Station,Date,Year
Soham,13/12/2021,2021
Bow Street,14/02/2021,2021
Kintore,15/10/2020,2020
Horden,29/06/2020,2020
Worcestershire Parkway,23/02/2020,2020
Robroyston,15/12/2019,2019
Warrington West,15/12/2019,2019
Bishops Lydeard,27/07/2019,2019
Meridian Water,03/06/2019,2019
Maghull North,18/06/2018,2018
Corfe Castle,18/05/2018,2018
Kenilworth,30/04/2018,2018
Cambridge North,21/05/2017,2017
Ilkeston,02/04/2017,2017
Low Moor,02/04/2017,2017
Edinburgh Gateway,11/12/2016,2016
Kirkstall Forge,19/06/2016,2016
Lea Bridge,15/05/2016,2016
Bermuda Park,18/01/2016,2016
Coventry Arena,18/01/2016,2016
Apperley Bridge,13/12/2015,2015
Cranbrook,13/12/2015,2015
Oxford Parkway,26/10/2015,2015
Eskbank,06/09/2015,2015
Galashiels,06/09/2015,2015
Gorebridge,06/09/2015,2015
Newtongrange,06/09/2015,2015
Shawfair,06/09/2015,2015
Stow,06/09/2015,2015
Tweedbank,06/09/2015,2015
Newcourt,04/06/2015,2015
Ebbw Vale Town,17/05/2015,2015
Pye Corner,14/12/2014,2014
James Cook University Hospital,18/05/2014,2014
Energlyn and Churchill Park,08/12/2013,2013
Stratford Upon Avon Parkway,19/05/2013,2013
Conon Bridge,08/02/2013,2013
Fishguard and Goodwick,14/05/2012,2012
Armadale,04/11/2011,2011
Buckshaw Parkway,03/10/2011,2011
Southend Airport,18/07/2011,2011
Caldercruix,13/02/2011,2011
Blackridge,12/12/2010,2010
Dalston Junction,27/04/2010,2010
Haggerston,27/04/2010,2010
Hoxton,27/04/2010,2010
Shoreditch High Street,27/04/2010,2010
Stratford International,30/11/2009,2009
Workington North,30/11/2009,2009
Imperial Wharf,28/09/2009,2009
Laurencekirk,18/05/2009,2009
Corby,23/02/2009,2009
East Midlands Airport Parkway,26/01/2009,2009
Aylesbury Vale Parkway,14/12/2008,2008
Shepherds Bush,29/09/2008,2008
Crosskeys,07/06/2008,2008
Mitcham Eastfields,02/06/2008,2008
Alloa,19/05/2008,2008
Llanhilleth,27/04/2008,2008
Heathrow Terminal 5,27/03/2008,2008
Ebbw Vale Parkway,06/02/2008,2008
Newbridge,06/02/2008,2008
Risca and Pontyminster,06/02/2008,2008
Rogerstone,06/02/2008,2008
Llanharan,09/12/2007,2007
Ebbsfleet International,19/11/2007,2007
Coleshill Parkway,19/08/2007,2007
Liverpool South Parkway,11/06/2006,2006
Chatelherault,11/12/2005,2005
Larkhall,11/12/2005,2005
Merryton,11/12/2005,2005
Kelvindale,26/09/2005,2005
Llantwit Major,10/06/2005,2005
Rhoose,10/06/2005,2005
Gartcosh,09/05/2005,2005
Chandlers Ford,18/05/2003,2004
Glasshoughton,21/02/2005,2004
Edinburgh Park,04/12/2003,2003
Brunstane,03/06/2002,2002
Newcraighall,03/06/2002,2002
Beauly,15/04/2002,2002
Howwood,12/03/2001,2001
Warwick Parkway,08/10/2000,2000
Lea Green,17/09/2000,2000
Wavertree Technology Park,13/08/2000,2000
Brighouse,29/05/2000,2000
Dunfermline Queen Margaret,25/01/2000,2000
Luton Airport Parkway,21/11/1999,1999
Braintree Freeport,08/11/1999,1999
Horwich Parkway,30/05/1999,1999
West Brompton,30/05/1999,1999
Drumfrochar,24/05/1998,1998
Dalgety Bay,28/03/1998,1998
Euxton Balshaw Lane,15/12/1997,1997
Camelon,04/10/1994,1994
Prestwick International Airport,05/09/1994,1994
Sanquhar,27/06/1994,1994
Wallyford,13/06/1994,1994
Shirebrook,24/05/1998,1998
Langwith-Whaley Thorns,24/05/1998,1998
Creswell,24/05/1998,1998
Whitwell,24/05/1998,1998
Kirkby in Ashfield,17/11/1996,1996
Mansfield,20/11/1995,1995
Mansfield Woodhouse,20/11/1995,1995
Sutton Parkway,20/11/1995,1995
Hucknall,17/05/1993,1993
Newstead,17/05/1993,1993
Bulwell,24/05/1994,1994
